,count,mean,std,min,25%,50%,75%,max
CLIMA_ts_noite_mean,3000096.0,6.8059679890243485,2.671464570294823,0.12,4.97,7.72,8.99,10.0
CLIMA_ts_noite_min,3000096.0,2.184493096220921,2.3881607155660376,0.0,0.0,1.0,4.0,9.0
CLIMA_ts_noite_std,3000096.0,1.8117939425938379,0.8404235336598539,0.05,1.13,1.71,2.42,4.3
CLIMA_wd_dia_25p,3000096.0,92.64264018551407,46.45779635913886,10.0,60.0,84.0,114.0,360.0
CLIMA_wd_dia_50p,3000096.0,146.6887669594573,63.60235855292109,10.0,100.0,130.0,175.0,360.0
CLIMA_wd_dia_75p,3000096.0,206.7708133339733,76.34975818477137,30.0,136.0,208.0,268.0,360.0
CLIMA_wd_dia_max,3000096.0,336.2458321333717,56.80960522486971,85.0,354.0,360.0,360.0,360.0
CLIMA_wd_dia_mean,3000096.0,152.14524385219676,46.084531287619434,38.92,119.22,145.14,175.68,360.0
CLIMA_wd_dia_min,3000096.0,14.389836525231193,30.748689132397747,0.0,1.0,3.0,10.0,360.0
CLIMA_wd_dia_std,3000096.0,78.18860012479597,33.96192318018215,0.0,49.09,89.26,104.2,154.97
CLIMA_wd_noite_25p,3000096.0,93.63794258583725,48.79528658625065,8.0,62.75,83.0,113.5,360.0
CLIMA_wd_noite_50p,3000096.0,146.64379939841925,66.41663857818389,20.5,100.0,132.0,173.5,360.0
CLIMA_wd_noite_75p,3000096.0,200.6284071409715,77.2654660385437,39.0,133.5,194.0,255.0,360.0
CLIMA_wd_noite_max,3000096.0,336.09426198361655,58.142838642324755,69.0,355.0,359.0,360.0,360.0
CLIMA_wd_noite_mean,3000096.0,150.56216158082944,48.609020055234765,43.64,115.04,145.24,173.36,360.0
CLIMA_wd_noite_min,3000096.0,14.08128939873924,32.290073189903964,0.0,1.0,2.0,10.0,360.0
CLIMA_wd_noite_std,3000096.0,76.4311519631372,33.45358736847799,0.0,47.96,85.46,100.72,168.49
CLIMA_ws_dia_25p,3000096.0,2.556578929474259,1.412159257814987,0.0,1.5,2.5,3.2,8.2
CLIMA_ws_dia_50p,3000096.0,3.693584955281427,1.7756966211224008,0.0,2.5,3.5,4.6,10.3
CLIMA_ws_dia_75p,3000096.0,4.978599704809445,2.3209797162105064,0.0,3.3,4.6,6.2,16.1
CLIMA_ws_dia_max,3000096.0,9.631945977728721,4.993283865406654,0.0,6.3,8.2,11.8,40.0
CLIMA_ws_dia_mean,3000096.0,3.84571445713737,1.807427653222985,0.0,2.54,3.64,4.8,11.04
CLIMA_ws_dia_min,3000096.0,0.33682992144251406,0.56106435907884,0.0,0.0,0.0,0.5,4.1
CLIMA_ws_dia_std,3000096.0,1.7756742784230892,0.9351010047908744,0.0,1.12,1.49,2.17,6.94
